,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len
6992,"frozenset({'Product = P00110942', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.08810049227635376,0.1972500424376167,0.03479884569682567,0.39499036608863203,2.002485582296154,0.017421019856539967,1.3268383056524744,2,1
7016,"frozenset({'Product = P00110942', 'Age = 26-35'})",frozenset({'Product = P00120042'}),0.08810049227635376,0.1514174163978951,0.03310134102868783,0.37572254335260113,2.4813693978589386,0.019761392104819628,1.3593035829922606,2,1
7017,"frozenset({'Product = P00120042', 'Age = 26-35'})",frozenset({'Product = P00110942'}),0.06195892038703107,0.2267866236632151,0.03310134102868783,0.5342465753424658,2.3557234845377737,0.01904988666829511,1.6601346021348617,2,1
7030,"frozenset({'Product = P0097242', 'Age = 26-35'})",frozenset({'Product = P00110942'}),0.06722118485825836,0.2267866236632151,0.031064335426922423,0.46212121212121215,2.037691662130285,0.015819469874277174,1.4375234602317692,2,1
7031,"frozenset({'Product = P00110942', 'Age = 26-35'})",frozenset({'Product = P0097242'}),0.08810049227635376,0.15209641826515022,0.031064335426922423,0.35260115606936415,2.3182738955408753,0.017664566104292484,1.3097082110725804,2,1
7048,"frozenset({'Product = P00112142', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.10134102868782889,0.17042946868103886,0.03462909523001188,0.3417085427135679,2.0049850847864827,0.01735759755515529,1.260187295667735,2,1
7070,"frozenset({'Product = P00112542', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.07536920726531998,0.17042946868103886,0.033780342895942964,0.44819819819819817,2.6298163203043683,0.020935208946803383,1.5033849628800766,2,1
7071,"frozenset({'Product = P00111142', 'Age = 26-35'})",frozenset({'Product = P00112542'}),0.07672721099983025,0.1889322695637413,0.033780342895942964,0.44026548672566373,2.3302821044931585,0.01928409678444898,1.44902219034462,2,1
7088,"frozenset({'Product = P00114942', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.08538448480733322,0.17042946868103886,0.035817348497708366,0.41948310139165007,2.461329631771126,0.02126531611839033,1.4290204700460185,2,1
7089,"frozenset({'Product = P00111142', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.07672721099983025,0.1972500424376167,0.035817348497708366,0.46681415929203535,2.3666111982696902,0.020682902871871876,1.5055725345153412,2,1
